ocorrencia_id,data,tipo,latitude,longitude
O0001,2025-05-05,lavagem,-8.04385,-34.90237
O0002,2025-05-30,fraude,-8.062667,-34.888815
O0003,2025-10-06,roubo,-8.086635,-34.886118
O0004,2025-10-16,apreensão,-8.089213,-34.891277
O0005,2025-03-08,apreensão,-8.044286,-34.890761
O0006,2025-08-22,apreensão,-8.08559,-34.893593
O0007,2025-01-09,roubo,-8.076727,-34.891338
O0008,2025-04-16,apreensão,-8.03945,-34.91057
O0009,2025-10-09,lavagem,-8.045672,-34.892046
O0010,2025-08-24,apreensão,-8.085985,-34.880507
O0011,2025-05-25,roubo,-8.045452,-34.895914
O0012,2025-10-13,roubo,-8.083684,-34.88828
O0013,2025-02-25,lavagem,-8.089557,-34.886295
O0014,2025-06-26,lavagem,-8.043429,-34.905304
O0015,2025-11-27,fraude,-8.047344,-34.896836
O0016,2025-06-01,lavagem,-8.0459,-34.908118
O0017,2025-03-16,fraude,-8.064144,-34.892142
O0018,2025-02-24,apreensão,-8.059292,-34.887196
O0019,2025-12-26,apreensão,-8.06759,-34.895187
O0020,2025-08-06,roubo,-8.087826,-34.884449
O0021,2025-03-29,lavagem,-8.084837,-34.886529
O0022,2025-07-30,fraude,-8.063362,-34.889066
O0023,2025-08-09,lavagem,-8.034281,-34.900069
O0024,2025-07-08,lavagem,-8.048422,-34.911795
O0025,2025-03-05,apreensão,-8.037991,-34.893693
O0026,2025-11-08,roubo,-8.063577,-34.88905
O0027,2025-06-06,fraude,-8.083011,-34.891892
O0028,2025-11-18,apreensão,-8.049376,-34.895309
O0029,2025-10-18,apreensão,-8.040513,-34.892208
O0030,2025-10-04,apreensão,-8.048343,-34.89923
O0031,2025-02-05,fraude,-8.042075,-34.896515
O0032,2025-10-28,fraude,-8.053272,-34.896857
O0033,2025-05-14,lavagem,-8.055199,-34.902907
O0034,2025-12-23,roubo,-8.084275,-34.881904
O0035,2025-06-23,lavagem,-8.048386,-34.897066
O0036,2025-06-08,roubo,-8.080579,-34.895232
O0037,2025-05-18,lavagem,-8.079012,-34.879722
O0038,2025-07-06,lavagem,-8.046496,-34.90183
O0039,2025-04-18,fraude,-8.041696,-34.896835
O0040,2025-05-08,roubo,-8.052905,-34.895837
O0041,2025-12-24,apreensão,-8.059609,-34.897412
O0042,2025-09-25,roubo,-8.067711,-34.883755
O0043,2025-05-05,fraude,-8.090306,-34.884183
O0044,2025-12-24,roubo,-8.062909,-34.887076
O0045,2025-08-02,roubo,-8.056153,-34.894842
O0046,2025-01-16,roubo,-8.057257,-34.904573
O0047,2025-08-12,roubo,-8.065016,-34.881861
O0048,2025-05-21,fraude,-8.086914,-34.894043
O0049,2025-11-17,fraude,-8.086336,-34.88011
O0050,2025-10-29,apreensão,-8.041723,-34.899076
O0051,2025-05-11,apreensão,-8.044357,-34.893921
O0052,2025-02-28,roubo,-8.082697,-34.895895
O0053,2025-01-07,apreensão,-8.084627,-34.888656
O0054,2025-07-26,lavagem,-8.05371,-34.886577
O0055,2025-11-29,fraude,-8.06525,-34.885718
O0056,2025-05-30,apreensão,-8.089817,-34.892271
O0057,2025-03-09,apreensão,-8.087445,-34.888585
O0058,2025-03-17,roubo,-8.09052,-34.888387
O0059,2025-06-01,fraude,-8.084584,-34.89539
O0060,2025-02-11,fraude,-8.088063,-34.883767
O0061,2025-04-28,fraude,-8.082312,-34.88335
O0062,2025-11-19,fraude,-8.100819,-34.883897
O0063,2025-12-07,lavagem,-8.051496,-34.893421
O0064,2025-05-20,lavagem,-8.05693,-34.890916
O0065,2025-06-03,apreensão,-8.05475,-34.910725
O0066,2025-02-20,lavagem,-8.041141,-34.907377
O0067,2025-04-08,lavagem,-8.054937,-34.898615
O0068,2025-03-07,roubo,-8.087451,-34.881469
O0069,2025-07-06,fraude,-8.044624,-34.898531
O0070,2025-06-05,roubo,-8.088077,-34.889959
O0071,2025-04-26,lavagem,-8.068074,-34.888123
O0072,2025-09-16,roubo,-8.073269,-34.894491
O0073,2025-01-14,apreensão,-8.047432,-34.895088
O0074,2025-02-20,apreensão,-8.091934,-34.8821
O0075,2025-04-12,roubo,-8.049803,-34.89384
O0076,2025-06-19,fraude,-8.046926,-34.895818
O0077,2025-08-21,apreensão,-8.088035,-34.888105
O0078,2025-07-26,roubo,-8.058975,-34.888889
O0079,2025-09-04,fraude,-8.032649,-34.905382
O0080,2025-06-25,roubo,-8.037512,-34.902718
O0081,2025-01-16,fraude,-8.090398,-34.891902
O0082,2025-12-01,lavagem,-8.035588,-34.894904
O0083,2025-12-18,lavagem,-8.093419,-34.879598
O0084,2025-10-14,lavagem,-8.061252,-34.887458
O0085,2025-11-17,lavagem,-8.059808,-34.893639
O0086,2025-02-05,apreensão,-8.058071,-34.885289
O0087,2025-03-31,roubo,-8.039088,-34.889408
O0088,2025-04-29,lavagem,-8.050649,-34.895507
O0089,2025-11-08,roubo,-8.057856,-34.889498
O0090,2025-06-01,roubo,-8.048815,-34.896226
O0091,2025-11-05,apreensão,-8.059434,-34.887926
O0092,2025-07-20,lavagem,-8.052096,-34.888532
O0093,2025-08-09,fraude,-8.087053,-34.891374
O0094,2025-11-27,lavagem,-8.071822,-34.887708
O0095,2025-06-09,fraude,-8.029331,-34.908682
O0096,2025-01-21,apreensão,-8.059824,-34.886709
O0097,2025-04-18,apreensão,-8.065139,-34.881126
O0098,2025-06-03,lavagem,-8.080448,-34.873917
O0099,2025-03-16,roubo,-8.071861,-34.900835
O0100,2025-12-24,roubo,-8.062163,-34.891208
O0101,2025-10-07,roubo,-8.051127,-34.896889
O0102,2025-06-06,roubo,-8.057679,-34.90093
O0103,2025-10-26,lavagem,-8.048964,-34.888886
O0104,2025-05-28,roubo,-8.079417,-34.889282
O0105,2025-11-25,apreensão,-8.056393,-34.885111
O0106,2025-08-13,apreensão,-8.044267,-34.898074
O0107,2025-05-01,fraude,-8.086729,-34.883934
O0108,2025-05-07,roubo,-8.079992,-34.885861
O0109,2025-10-25,apreensão,-8.094919,-34.887939
O0110,2025-10-08,roubo,-8.059098,-34.883686
O0111,2025-04-28,roubo,-8.060129,-34.880974
O0112,2025-11-10,roubo,-8.052975,-34.892074
O0113,2025-01-31,lavagem,-8.059611,-34.881057
O0114,2025-04-10,lavagem,-8.060763,-34.890108
O0115,2025-05-14,apreensão,-8.094172,-34.883133
O0116,2025-12-04,roubo,-8.071442,-34.893203
O0117,2025-09-15,apreensão,-8.087368,-34.884045
O0118,2025-07-15,fraude,-8.091424,-34.896313
O0119,2025-07-23,roubo,-8.049936,-34.884942
O0120,2025-04-21,roubo,-8.066891,-34.887458
O0121,2025-02-25,apreensão,-8.038858,-34.904851
O0122,2025-09-19,lavagem,-8.050868,-34.893946
O0123,2025-04-11,apreensão,-8.08917,-34.887837
O0124,2025-06-21,roubo,-8.044483,-34.902285
O0125,2025-02-28,roubo,-8.077649,-34.883215
O0126,2025-04-17,lavagem,-8.051183,-34.885112
O0127,2025-02-03,lavagem,-8.055936,-34.884777
O0128,2025-12-15,lavagem,-8.048132,-34.891542
O0129,2025-06-07,apreensão,-8.040136,-34.896374
O0130,2025-12-29,roubo,-8.074712,-34.886371
O0131,2025-12-02,apreensão,-8.060898,-34.888036
O0132,2025-04-13,fraude,-8.092897,-34.885847
O0133,2025-10-16,apreensão,-8.076949,-34.888378
O0134,2025-06-11,fraude,-8.080859,-34.894365
O0135,2025-04-14,apreensão,-8.061585,-34.8967
O0136,2025-09-09,roubo,-8.092108,-34.887139
O0137,2025-06-30,fraude,-8.060697,-34.88513
O0138,2025-11-05,roubo,-8.085892,-34.881829
O0139,2025-04-30,apreensão,-8.094107,-34.89067
O0140,2025-02-22,lavagem,-8.100938,-34.885598
O0141,2025-04-06,apreensão,-8.055525,-34.885178
O0142,2025-11-16,roubo,-8.075265,-34.889826
O0143,2025-11-14,fraude,-8.092484,-34.883694
O0144,2025-02-22,fraude,-8.081142,-34.88131
O0145,2025-03-23,lavagem,-8.065171,-34.885477
O0146,2025-07-25,fraude,-8.050789,-34.901907
O0147,2025-02-11,apreensão,-8.046662,-34.899798
O0148,2025-08-06,apreensão,-8.099498,-34.900349
O0149,2025-07-20,apreensão,-8.078911,-34.884458
O0150,2025-06-06,fraude,-8.088368,-34.888493
O0151,2025-02-12,roubo,-8.088621,-34.885198
O0152,2025-11-19,roubo,-8.069528,-34.891587
O0153,2025-06-04,roubo,-8.067048,-34.885023
O0154,2025-11-03,roubo,-8.09176,-34.898016
O0155,2025-02-18,apreensão,-8.085347,-34.877233
O0156,2025-11-16,lavagem,-8.056074,-34.905849
O0157,2025-10-17,fraude,-8.080406,-34.884304
O0158,2025-06-20,lavagem,-8.055517,-34.899013
O0159,2025-10-10,roubo,-8.070266,-34.889178
O0160,2025-06-07,roubo,-8.069101,-34.8761
O0161,2025-04-13,roubo,-8.084615,-34.879686
O0162,2025-10-17,apreensão,-8.041399,-34.901534
O0163,2025-02-15,roubo,-8.085986,-34.898747
O0164,2025-12-09,lavagem,-8.076696,-34.878699
O0165,2025-03-14,lavagem,-8.078508,-34.871294
O0166,2025-01-03,roubo,-8.046909,-34.886418
O0167,2025-06-15,lavagem,-8.034729,-34.897902
O0168,2025-02-03,roubo,-8.08959,-34.876349
O0169,2025-01-08,roubo,-8.052724,-34.888374
O0170,2025-01-06,roubo,-8.060094,-34.885202
O0171,2025-09-02,fraude,-8.086023,-34.882665
O0172,2025-01-25,apreensão,-8.093964,-34.888819
O0173,2025-03-07,lavagem,-8.065272,-34.887891
O0174,2025-08-23,fraude,-8.07192,-34.89015
O0175,2025-10-21,apreensão,-8.072654,-34.888851
O0176,2025-11-27,roubo,-8.057934,-34.883275
O0177,2025-05-05,fraude,-8.050288,-34.901531
O0178,2025-07-28,apreensão,-8.089146,-34.881572
O0179,2025-09-26,lavagem,-8.082164,-34.884099
O0180,2025-04-09,roubo,-8.080403,-34.885342
O0181,2025-12-16,lavagem,-8.047781,-34.907
O0182,2025-11-28,fraude,-8.051471,-34.901159
O0183,2025-06-09,apreensão,-8.066822,-34.895207
O0184,2025-10-22,lavagem,-8.053436,-34.902056
O0185,2025-04-12,lavagem,-8.056108,-34.887091
O0186,2025-05-22,lavagem,-8.056967,-34.893799
O0187,2025-12-25,apreensão,-8.043432,-34.918084
O0188,2025-04-19,fraude,-8.055945,-34.891538
O0189,2025-09-06,roubo,-8.049322,-34.898065
O0190,2025-11-08,roubo,-8.099614,-34.879081
O0191,2025-09-15,roubo,-8.055335,-34.89569
O0192,2025-01-20,fraude,-8.037784,-34.90384
O0193,2025-11-19,lavagem,-8.069038,-34.893926
O0194,2025-10-10,lavagem,-8.096818,-34.897289
O0195,2025-03-01,fraude,-8.039563,-34.889361
O0196,2025-08-25,apreensão,-8.041351,-34.899287
O0197,2025-07-04,lavagem,-8.085347,-34.890908
O0198,2025-11-26,apreensão,-8.069178,-34.887014
O0199,2025-03-12,roubo,-8.049475,-34.903286
O0200,2025-03-22,apreensão,-8.047073,-34.899868
O0201,2025-11-09,fraude,-8.055032,-34.890579
O0202,2025-02-25,lavagem,-8.070084,-34.883142
O0203,2025-11-02,lavagem,-8.093351,-34.894525
O0204,2025-09-28,apreensão,-8.060358,-34.888873
O0205,2025-02-07,roubo,-8.062095,-34.883152
O0206,2025-08-21,apreensão,-8.048823,-34.896399
O0207,2025-03-06,fraude,-8.079225,-34.888433
O0208,2025-02-14,roubo,-8.092836,-34.893344
O0209,2025-10-02,lavagem,-8.082805,-34.895476
O0210,2025-11-26,lavagem,-8.041529,-34.892087
O0211,2025-10-28,roubo,-8.051197,-34.905125
O0212,2025-01-23,apreensão,-8.053437,-34.894841
O0213,2025-04-01,fraude,-8.053662,-34.899847
O0214,2025-05-10,fraude,-8.046141,-34.895622
O0215,2025-10-30,apreensão,-8.097424,-34.889673
O0216,2025-11-07,lavagem,-8.048472,-34.905475
O0217,2025-09-14,lavagem,-8.049211,-34.896646
O0218,2025-09-25,fraude,-8.059971,-34.894664
O0219,2025-04-28,lavagem,-8.090245,-34.885665
O0220,2025-02-17,apreensão,-8.086305,-34.875795
