ligacao_id,origem,destino,data_hora,duracao_segundos
L00001,(81) 90001-0003,(81) 90001-0006,2025-01-01 12:04:00,118
L00002,(81) 90001-0008,(81) 90001-0009,2025-01-01 21:20:00,205
L00003,(81) 90001-0004,(81) 90001-0009,2025-01-01 17:02:00,114
L00004,(81) 90001-0003,(81) 90001-0006,2025-01-01 09:45:00,547
L00005,(81) 90001-0002,(81) 90001-0004,2025-01-02 15:21:00,171
L00006,(81) 90001-0004,(81) 90001-0008,2025-01-02 22:36:00,720
L00007,(81) 90001-0002,(81) 90001-0006,2025-01-02 07:21:00,194
L00008,(81) 90001-0001,(81) 90001-0003,2025-01-02 10:48:00,375
L00009,(81) 90001-0009,(81) 90001-0010,2025-01-02 15:42:00,315
L00010,(81) 90001-0008,(81) 90001-0009,2025-01-02 08:40:00,865
L00011,(81) 90001-0003,(81) 90001-0012,2025-01-02 11:55:00,327
L00012,(81) 90001-0001,(81) 90001-0002,2025-01-02 18:22:00,693
L00013,(81) 90001-0004,(81) 90001-0008,2025-01-02 22:15:00,700
L00014,(81) 90001-0001,(81) 90001-0002,2025-01-02 16:20:00,576
L00015,(81) 90001-0008,(81) 90001-0009,2025-01-03 14:08:00,17
L00016,(81) 90001-0003,(81) 90001-0006,2025-01-03 15:35:00,189
L00017,(81) 90001-0009,(81) 90001-0010,2025-01-03 22:44:00,640
L00018,(81) 90001-0002,(81) 90001-0006,2025-01-03 12:21:00,88
L00019,(81) 90001-0001,(81) 90001-0004,2025-01-03 20:20:00,604
L00020,(81) 90001-0008,(81) 90001-0009,2025-01-03 13:46:00,713
L00021,(81) 90001-0001,(81) 90001-0008,2025-01-03 22:09:00,146
L00022,(81) 90001-0008,(81) 90001-0009,2025-01-03 10:10:00,856
L00023,(81) 90001-0002,(81) 90001-0004,2025-01-03 20:40:00,716
L00024,(81) 90001-0009,(81) 90001-0010,2025-01-03 16:45:00,790
L00025,(81) 90001-0001,(81) 90001-0004,2025-01-03 18:17:00,815
L00026,(81) 90001-0003,(81) 90001-0012,2025-01-03 21:18:00,50
L00027,(81) 90001-0002,(81) 90001-0004,2025-01-04 13:46:00,532
L00028,(81) 90001-0002,(81) 90001-0006,2025-01-04 18:09:00,18
L00029,(81) 90001-0002,(81) 90001-0006,2025-01-04 23:48:00,848
L00030,(81) 90001-0003,(81) 90001-0006,2025-01-04 17:36:00,480
L00031,(81) 90001-0002,(81) 90001-0004,2025-01-04 17:07:00,231
L00032,(81) 90001-0003,(81) 90001-0012,2025-01-05 11:46:00,28
L00033,(81) 90001-0003,(81) 90001-0012,2025-01-05 23:18:00,756
L00034,(81) 90001-0001,(81) 90001-0008,2025-01-05 14:47:00,110
L00035,(81) 90001-0011,(81) 90001-0012,2025-01-05 12:43:00,289
L00036,(81) 90001-0008,(81) 90001-0009,2025-01-05 10:36:00,559
L00037,(81) 90001-0001,(81) 90001-0004,2025-01-05 22:22:00,705
L00038,(81) 90001-0006,(81) 90001-0011,2025-01-05 12:23:00,166
L00039,(81) 90001-0003,(81) 90001-0012,2025-01-05 19:28:00,504
L00040,(81) 90001-0004,(81) 90001-0009,2025-01-05 19:32:00,251
L00041,(81) 90001-0003,(81) 90001-0012,2025-01-06 22:10:00,177
L00042,(81) 90001-0004,(81) 90001-0009,2025-01-06 13:30:00,854
L00043,(81) 90001-0001,(81) 90001-0003,2025-01-06 21:09:00,39
L00044,(81) 90001-0001,(81) 90001-0004,2025-01-06 14:54:00,289
L00045,(81) 90001-0003,(81) 90001-0006,2025-01-06 14:48:00,524
L00046,(81) 90001-0009,(81) 90001-0010,2025-01-07 15:05:00,659
L00047,(81) 90001-0004,(81) 90001-0008,2025-01-07 22:57:00,292
L00048,(81) 90001-0009,(81) 90001-0010,2025-01-07 19:18:00,204
L00049,(81) 90001-0004,(81) 90001-0009,2025-01-07 09:18:00,463
L00050,(81) 90001-0001,(81) 90001-0004,2025-01-07 17:50:00,870
L00051,(81) 90001-0001,(81) 90001-0003,2025-01-08 18:13:00,560
L00052,(81) 90001-0002,(81) 90001-0004,2025-01-08 19:01:00,371
L00053,(81) 90001-0001,(81) 90001-0004,2025-01-08 12:15:00,405
L00054,(81) 90001-0001,(81) 90001-0003,2025-01-08 19:53:00,79
L00055,(81) 90001-0011,(81) 90001-0012,2025-01-08 18:33:00,742
L00056,(81) 90001-0004,(81) 90001-0008,2025-01-08 17:30:00,722
L00057,(81) 90001-0002,(81) 90001-0006,2025-01-08 20:26:00,501
L00058,(81) 90001-0004,(81) 90001-0008,2025-01-08 17:55:00,125
L00059,(81) 90001-0002,(81) 90001-0004,2025-01-09 13:21:00,168
L00060,(81) 90001-0002,(81) 90001-0004,2025-01-09 07:08:00,456
L00061,(81) 90001-0008,(81) 90001-0009,2025-01-09 14:32:00,421
L00062,(81) 90001-0001,(81) 90001-0003,2025-01-09 06:08:00,867
L00063,(81) 90001-0001,(81) 90001-0002,2025-01-09 13:42:00,377
L00064,(81) 90001-0009,(81) 90001-0010,2025-01-09 07:47:00,627
L00065,(81) 90001-0008,(81) 90001-0009,2025-01-09 21:07:00,102
L00066,(81) 90001-0002,(81) 90001-0004,2025-01-09 11:45:00,716
L00067,(81) 90001-0002,(81) 90001-0004,2025-01-09 07:37:00,210
L00068,(81) 90001-0006,(81) 90001-0011,2025-01-09 21:33:00,406
L00069,(81) 90001-0001,(81) 90001-0003,2025-01-10 15:00:00,739
L00070,(81) 90001-0003,(81) 90001-0012,2025-01-10 13:45:00,387
L00071,(81) 90001-0009,(81) 90001-0010,2025-01-10 07:21:00,438
L00072,(81) 90001-0002,(81) 90001-0006,2025-01-10 12:25:00,680
L00073,(81) 90001-0001,(81) 90001-0003,2025-01-10 08:14:00,503
L00074,(81) 90001-0009,(81) 90001-0010,2025-01-10 07:54:00,845
L00075,(81) 90001-0004,(81) 90001-0009,2025-01-10 09:31:00,42
L00076,(81) 90001-0002,(81) 90001-0006,2025-01-10 10:13:00,310
L00077,(81) 90001-0008,(81) 90001-0009,2025-01-10 10:50:00,560
L00078,(81) 90001-0001,(81) 90001-0004,2025-01-10 17:00:00,793
L00079,(81) 90001-0006,(81) 90001-0011,2025-01-10 06:53:00,857
L00080,(81) 90001-0002,(81) 90001-0006,2025-01-11 08:17:00,234
L00081,(81) 90001-0002,(81) 90001-0004,2025-01-11 21:52:00,683
L00082,(81) 90001-0002,(81) 90001-0004,2025-01-11 23:14:00,885
L00083,(81) 90001-0003,(81) 90001-0006,2025-01-11 09:35:00,429
L00084,(81) 90001-0003,(81) 90001-0006,2025-01-11 10:56:00,748
L00085,(81) 90001-0009,(81) 90001-0010,2025-01-11 13:23:00,858
L00086,(81) 90001-0001,(81) 90001-0002,2025-01-11 18:51:00,139
L00087,(81) 90001-0004,(81) 90001-0008,2025-01-11 17:21:00,586
L00088,(81) 90001-0006,(81) 90001-0011,2025-01-11 19:34:00,374
L00089,(81) 90001-0001,(81) 90001-0002,2025-01-11 18:21:00,618
L00090,(81) 90001-0001,(81) 90001-0003,2025-01-11 23:21:00,597
L00091,(81) 90001-0002,(81) 90001-0006,2025-01-12 17:19:00,696
L00092,(81) 90001-0001,(81) 90001-0004,2025-01-12 07:30:00,504
L00093,(81) 90001-0008,(81) 90001-0009,2025-01-12 09:59:00,184
L00094,(81) 90001-0002,(81) 90001-0004,2025-01-12 12:58:00,185
L00095,(81) 90001-0009,(81) 90001-0010,2025-01-12 08:50:00,549
L00096,(81) 90001-0004,(81) 90001-0008,2025-01-12 06:00:00,872
L00097,(81) 90001-0001,(81) 90001-0002,2025-01-12 18:31:00,516
L00098,(81) 90001-0002,(81) 90001-0004,2025-01-12 20:31:00,44
L00099,(81) 90001-0001,(81) 90001-0003,2025-01-12 11:11:00,807
L00100,(81) 90001-0004,(81) 90001-0009,2025-01-12 09:32:00,556
L00101,(81) 90001-0001,(81) 90001-0003,2025-01-12 23:45:00,770
L00102,(81) 90001-0008,(81) 90001-0009,2025-01-13 19:29:00,692
L00103,(81) 90001-0001,(81) 90001-0003,2025-01-13 11:45:00,660
L00104,(81) 90001-0002,(81) 90001-0006,2025-01-13 17:30:00,468
L00105,(81) 90001-0003,(81) 90001-0012,2025-01-13 13:14:00,615
L00106,(81) 90001-0006,(81) 90001-0011,2025-01-14 19:08:00,776
L00107,(81) 90001-0001,(81) 90001-0004,2025-01-14 12:41:00,799
L00108,(81) 90001-0008,(81) 90001-0009,2025-01-14 18:17:00,430
L00109,(81) 90001-0001,(81) 90001-0002,2025-01-14 15:58:00,330
L00110,(81) 90001-0011,(81) 90001-0012,2025-01-14 21:12:00,237
L00111,(81) 90001-0002,(81) 90001-0004,2025-01-14 20:41:00,441
L00112,(81) 90001-0009,(81) 90001-0010,2025-01-14 21:36:00,899
L00113,(81) 90001-0002,(81) 90001-0006,2025-01-14 19:36:00,597
L00114,(81) 90001-0001,(81) 90001-0003,2025-01-14 07:50:00,79
L00115,(81) 90001-0001,(81) 90001-0002,2025-01-14 13:03:00,294
L00116,(81) 90001-0004,(81) 90001-0009,2025-01-15 09:19:00,887
L00117,(81) 90001-0004,(81) 90001-0008,2025-01-15 07:15:00,216
L00118,(81) 90001-0003,(81) 90001-0006,2025-01-15 07:05:00,817
L00119,(81) 90001-0002,(81) 90001-0004,2025-01-15 13:58:00,351
L00120,(81) 90001-0002,(81) 90001-0006,2025-01-15 15:22:00,123
L00121,(81) 90001-0004,(81) 90001-0009,2025-01-15 07:52:00,439
L00122,(81) 90001-0008,(81) 90001-0009,2025-01-15 22:09:00,360
L00123,(81) 90001-0003,(81) 90001-0012,2025-01-15 07:27:00,723
L00124,(81) 90001-0006,(81) 90001-0011,2025-01-15 21:37:00,139
